sold_price_raw,living_area_raw,plot_area_raw,rooms_raw,operating_cost_raw,latitude,longitude,house_age,type_Parhus,type_Radhus,type_Villa,plot_living_ratio,dist_partille_center_km,dist_gbg_center_km,dist_partille_station_km,dist_jonsered_station_km,dist_ostra_km,dist_e20_partille_km,dist_e45_gamlestadsmotet_km,dist_e20_jonsered_lerum_km,dist_rv40_landvetter_km,dist_delsjon_km,dist_kasjon_km,dist_partille_golf_km,dist_jonsered_herrgard_km,min_dist_center_km,min_dist_transport_km,min_dist_workplace_km,min_dist_infrastructure_km,min_dist_recreation_km,sold_year,sold_month,rooms_missing
5615000,110.0,422.0,6.0,4458.0,57.73588648,12.05137513,61.0,False,False,True,3.8363636363636364,3.3,5.5,3.3,7.4,1.7,3.4,2.1,7.4,15.6,1.8,7.7,5.4,7.2,3.3,3.3,1.7,2.1,1.8,2025,7,0
5140000,79.0,750.0,5.0,2887.0,57.74229506,12.05632374,81.0,False,False,True,9.49367088607595,3.0,6.1,3.0,7.0,2.4,3.1,2.7,7.0,15.6,2.6,7.1,5.0,6.8,3.0,3.0,2.4,2.7,2.6,2025,11,0
4750000,87.0,230.0,4.0,2722.0,57.70065493,12.14043874,29.0,True,False,False,2.6436781609195403,4.8,9.9,4.8,5.8,5.8,4.9,7.6,5.7,9.4,6.2,7.3,4.6,6.1,4.8,4.8,5.8,4.9,4.6,2025,11,0
3100000,87.0,127.0,4.0,2608.0,57.73929019,12.09440537,64.0,False,True,False,1.4597701149425288,0.7,7.9,0.7,4.8,3.3,0.8,4.6,4.8,13.4,3.8,5.2,2.8,4.7,0.7,0.7,3.3,0.8,2.8,2025,6,0
425000,65.0,785.0,0.0,2982.0,57.73742037,12.19235503,40.0,False,False,True,12.076923076923077,5.1,13.3,5.1,1.7,8.6,5.0,10.2,1.7,8.5,9.1,3.3,3.1,2.3,5.1,1.7,8.6,1.7,2.3,2025,11,1
6450000,132.0,663.0,4.0,3567.0,57.72337899,12.13826384,20.0,False,False,True,5.0227272727272725,2.6,9.9,2.6,3.6,5.2,2.7,6.9,3.5,10.3,5.7,4.9,2.1,3.8,2.6,2.6,5.2,2.7,2.1,2025,11,0
5250000,136.0,587.0,5.0,3476.0,57.73486178,12.11928318,101.0,False,False,True,4.3161764705882355,0.9,9.1,0.9,3.6,4.4,1.0,5.9,3.5,11.9,4.9,4.4,1.6,3.6,0.9,0.9,4.4,1.0,1.6,2025,11,0
6250000,121.0,213.0,5.0,2027.0,57.69835436,12.12912665,3.0,False,False,True,1.7603305785123966,4.8,9.3,4.8,6.3,5.3,4.9,7.1,6.2,10.0,5.7,7.7,4.9,6.6,4.8,4.8,5.3,4.9,4.9,2025,11,0
3450000,60.0,517.0,5.0,2887.0,57.7412837,12.05312036,80.0,False,False,True,8.616666666666667,3.2,5.9,3.2,7.2,2.3,3.3,2.5,7.2,15.7,2.4,7.3,5.2,7.0,3.2,3.2,2.3,2.5,2.4,2025,9,0
6250000,120.0,1287.0,6.0,3319.0,57.742318,12.179421,115.0,False,False,True,10.725,4.3,12.7,4.3,0.9,8.0,4.2,9.5,0.8,9.4,8.5,2.6,2.3,1.4,4.3,0.9,8.0,0.8,1.4,2025,11,0
4900000,109.0,719.0,4.0,3306.0,57.75294685,12.15620063,55.0,False,False,True,6.5963302752293576,3.3,11.8,3.3,1.1,7.2,3.2,8.5,1.1,11.2,7.7,1.5,1.5,0.8,3.3,1.1,7.2,1.1,0.8,2025,11,0
8095000,158.0,360.0,0.0,3224.0,57.70061721,12.12879229,1.0,False,False,False,2.278481012658228,4.5,9.2,4.6,6.1,5.1,4.6,7.0,6.0,10.1,5.6,7.5,4.7,6.3,4.5,4.6,5.1,4.6,4.7,2025,11,1
8300000,135.0,425.0,5.0,4866.0,57.71600267,12.05895542,26.0,False,False,True,3.1481481481481484,3.8,5.1,3.9,7.8,0.7,4.0,2.5,7.7,14.5,1.1,8.5,5.7,7.7,3.8,3.9,0.7,2.5,1.1,2025,6,0
4850000,146.0,144.0,5.0,2735.0,57.7306907,12.12873119,44.0,False,True,False,0.9863013698630136,1.7,9.5,1.7,3.4,4.7,1.7,6.4,3.3,11.2,5.3,4.5,1.5,3.5,1.7,1.7,4.7,1.7,1.5,2025,6,0
4125000,123.0,403.8,4.0,2179.0,57.73840119,12.05168155,61.0,False,True,False,3.282926829268293,3.3,5.6,3.3,7.4,2.0,3.3,2.2,7.3,15.7,2.1,7.5,5.3,7.2,3.3,3.3,2.0,2.2,2.1,2025,11,0
